song_id,entry_date,exit_date,peak_position,days_on_playlist,peak_date,is_explicit,album_type,entry_to_peak_days,lifetime_days
g-wa_zheus,2025-11-21,2025-11-27,39,5,2025-11-23,True,single,2,7
gangster (pqfnedg)_ovy on the drums & quevedo & yandel,2024-10-21,2024-11-01,15,12,2024-10-21,True,single,0,12
gangsters y pistolas_feid,2024-09-30,2024-10-01,25,2,2024-09-30,False,album,0,2
gata only (mashup)_dj agus lima,2025-05-09,2025-05-10,5,2,2025-05-09,False,album,0,2
gata only_floyymenor,2025-08-10,2025-10-14,15,55,2025-08-10,True,album,0,66
gata only_floyymenor & cris mj,2025-02-24,2025-08-09,2,161,2025-04-06,True,single,41,167
gatita gangster_karol g,2024-09-13,2024-11-24,30,63,2024-10-12,True,album,29,73
gatitas sandungueras vol.1_alvaro diaz,2025-05-19,2025-07-03,12,46,2025-06-12,False,album,24,46
gitana (feat. bryartz)_pablo chill-e,2025-05-03,2025-06-17,15,45,2025-05-17,True,album,14,46
goteras_omar montes & jc reyes,2025-06-30,2025-11-23,1,145,2025-07-08,False,single,8,147
gracias por nada_bad bunny,2024-10-14,2024-10-20,11,7,2024-10-14,True,album,0,7
gran día_mau y ricky & guaynaa,2025-05-16,2025-06-01,17,13,2025-05-31,False,single,15,17
gran vía_quevedo,2025-11-24,2025-11-27,1,4,2025-11-24,False,album,0,4
guay_ozuna & bad gyal,2025-04-21,2025-07-20,7,90,2025-04-27,False,single,6,91
hablame claro_yandel,2025-10-13,2025-10-13,47,1,2025-10-13,True,album,0,1
hablame claro_yandel & feid,2025-09-16,2025-10-12,5,27,2025-09-25,True,single,9,27
hala madrid ...y nada más_real madrid,2025-06-03,2025-06-03,43,1,2025-06-03,False,single,0,1
halo_quevedo,2025-11-24,2025-11-27,7,4,2025-11-24,False,album,0,4
hardaway_duki,2025-11-03,2025-11-03,35,1,2025-11-03,True,album,0,1
hasta olvidarte_mau y ricky,2025-06-03,2025-06-08,23,6,2025-06-04,False,album,1,6
hay lupita_lomiiel,2025-07-12,2025-10-29,2,103,2025-08-04,False,single,23,110
hay lupita_megan koffe,2025-06-28,2025-07-10,30,13,2025-07-08,True,single,10,13
haz lo que quieras conmigo_walls,2025-09-22,2025-10-19,33,20,2025-09-22,False,single,0,28
headshot_anuel aa,2025-09-22,2025-09-22,29,1,2025-09-22,True,single,0,1
heavy is the crown_linkin park,2025-09-27,2025-09-27,49,1,2025-09-27,False,single,0,1
heavyweight_eladio carrion,2025-05-04,2025-05-04,49,1,2025-05-04,True,single,0,1
hermosa casualidad_sen senra & aitana,2025-06-02,2025-06-09,39,6,2025-06-06,False,single,4,8
hey bb_saiko,2025-04-28,2025-05-02,26,5,2025-04-28,False,album,0,5
hey lil mama_eladio carrion,2025-01-21,2025-04-13,8,77,2025-01-25,False,album,4,83
hey mor_ozuna,2024-05-18,2024-09-12,30,97,2024-05-18,False,album,0,118
hibiki_bad bunny,2024-10-14,2024-12-01,2,49,2024-10-14,True,album,0,49
historias por contar_operación triunfo 2023,2025-02-22,2025-02-24,28,3,2025-02-22,False,single,0,3
holanda_jhayco,2024-08-04,2025-03-12,3,218,2024-08-16,True,single,12,221
holly jolly christmas_michael bublé,2024-12-25,2024-12-27,24,3,2024-12-25,False,album,0,3
houdini_dua lipa,2024-11-11,2024-11-17,23,7,2024-11-11,False,single,0,7
hoy_valentino merlo & the la planta,2025-09-29,2025-10-04,13,6,2025-10-02,False,single,3,6
i can do it with a broken heart_taylor swift,2025-04-23,2025-04-23,50,1,2025-04-23,True,album,0,1
i like the way you kiss me_artemas,2025-04-04,2025-05-02,19,21,2025-04-18,False,single,14,29
ia_clarent,2025-10-20,2025-11-12,1,24,2025-11-09,True,single,20,24
ia_clarent & mora,2025-11-13,2025-11-27,1,15,2025-11-13,True,single,0,15
